"REF_DATE","GEO","DGUID","Age group","Sex","High blood pressure","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1994","Canada","","Total, 12 years and over","Females","Without high blood pressure","Percent","Percent","239","units ","0","v4009424","1.1.3.3.5","89.9","","","","1"
"1994","Canada","","Total, 12 years and over","Females","Without high blood pressure","Low 95% confidence interval - percent","Percent","239","units ","0","v4009425","1.1.3.3.6","89.1","","","","1"
"1994","Canada","","Total, 12 years and over","Females","Without high blood pressure","High 95% confidence interval - percent","Percent","239","units ","0","v4009426","1.1.3.3.7","90.7","","","","1"
"1994","Canada","","Total, 12 years and over","Females","Without high blood pressure","Coefficient of variation for percent","Percent","239","units ","0","v4009427","1.1.3.3.8","0.4","","","","1"
"1994","Canada","","Total, 12 years and over","Females","High blood pressure, not stated","Number of persons","Persons","249","units ","0","v1889076","1.1.3.4.1","","F","","","0"
"1994","Canada","","Total, 12 years and over","Females","High blood pressure, not stated","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889077","1.1.3.4.2","","F","","","0"
"1994","Canada","","Total, 12 years and over","Females","High blood pressure, not stated","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889078","1.1.3.4.3","","F","","","0"
"1994","Canada","","Total, 12 years and over","Females","High blood pressure, not stated","Coefficient of variation for number of persons","Persons","249","units ","0","v4009431","1.1.3.4.4","","F","","","1"
"1994","Canada","","Total, 12 years and over","Females","High blood pressure, not stated","Percent","Percent","239","units ","0","v4009432","1.1.3.4.5","","F","","","1"
"1994","Canada","","Total, 12 years and over","Females","High blood pressure, not stated","Low 95% confidence interval - percent","Percent","239","units ","0","v4009433","1.1.3.4.6","","F","","","1"
"1994","Canada","","Total, 12 years and over","Females","High blood pressure, not stated","High 95% confidence interval - percent","Percent","239","units ","0","v4009434","1.1.3.4.7","","F","","","1"
"1994","Canada","","Total, 12 years and over","Females","High blood pressure, not stated","Coefficient of variation for percent","Percent","239","units ","0","v4009435","1.1.3.4.8","","F","","","1"
"1994","Canada","","12-19 years","Both sexes","Total population for the variable high blood pressure","Number of persons","Persons","249","units ","0","v1889079","1.2.1.1.1","3372405","","","","0"
"1994","Canada","","12-19 years","Both sexes","Total population for the variable high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889080","1.2.1.1.2","3254902","","","","0"
"1994","Canada","","12-19 years","Both sexes","Total population for the variable high blood pressure","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889081","1.2.1.1.3","3489908","","","","0"
"1994","Canada","","12-19 years","Both sexes","Total population for the variable high blood pressure","Coefficient of variation for number of persons","Persons","249","units ","0","v4009439","1.2.1.1.4","1.8","","","","1"
"1994","Canada","","12-19 years","Both sexes","Total population for the variable high blood pressure","Percent","Percent","239","units ","0","v4009440","1.2.1.1.5","100.0","","","","1"
"1994","Canada","","12-19 years","Both sexes","Total population for the variable high blood pressure","Low 95% confidence interval - percent","Percent","239","units ","0","v4009441","1.2.1.1.6","100.0","","","","1"
"1994","Canada","","12-19 years","Both sexes","Total population for the variable high blood pressure","High 95% confidence interval - percent","Percent","239","units ","0","v4009442","1.2.1.1.7","100.0","","","","1"
"1994","Canada","","12-19 years","Both sexes","Total population for the variable high blood pressure","Coefficient of variation for percent","Percent","239","units ","0","v4009443","1.2.1.1.8","0.0","","","","1"
